player_id,player_url,stats_url,player_name_clean,bat_matches,bat_innings,bat_not_out,bat_runs,bat_highest_runs,bat_avg,bat_sr,bat_30s,bat_50s,bat_100s,bat_4s,bat_6s,bowl_matches,bowl_innings,bowl_overs,bowl_maidens,bowl_wickets,bowl_runs_conceded,bowl_best_bowling,bowl_3w,bowl_5w,bowl_economy,bowl_avg,bowl_sr,bowl_wides,bowl_noballs,bowl_dot_balls,bowl_4s,bowl_6s,field_matches,field_catches,field_stumpings,field_run_outs,field_assisted_run_outs,field_caught_behind
11258991,https://cricheroes.com/player-profile/11258991/hitesh,https://cricheroes.com/player-profile/11258991/hitesh/stats,Hitesh,22,22,4,109,14,6.06,83.85,0,0,0,8,0,22,2,2,0,2,13,02-Mar,0,0,6.5,6.5,6,3,1,7,1,0,22,0,0,0,0,0
12957846,https://cricheroes.com/player-profile/12957846/jash-gandhi,https://cricheroes.com/player-profile/12957846/jash-gandhi/stats,Jash,86,75,9,491,26,7.44,108.15,0,0,0,34,14,86,23,24.4,0,11,245,02-Sep,0,0,9.93,22.27,13.45,12,13,60,16,14,86,26,0,8,2,0
17543876,https://cricheroes.com/player-profile/17543876/jatin-doshi-,https://cricheroes.com/player-profile/17543876/jatin-doshi-/stats,Jatin,20,13,0,13,5,1,39.39,0,0,0,1,0,20,8,7.1,0,6,73,02-Jun,0,0,10.19,12.17,7.17,8,6,19,6,1,20,2,0,3,0,0
17334009,https://cricheroes.com/player-profile/17334009/jay-muchhala,https://cricheroes.com/player-profile/17334009/jay-muchhala/stats,Jay,22,12,4,26,14,3.25,76.47,0,0,0,2,1,22,14,14.1,1,6,195,02-May,0,0,13.76,32.5,14.17,2,4,30,7,22,22,1,1,3,1,0
4154681,https://cricheroes.com/player-profile/4154681/jay-dhorda,https://cricheroes.com/player-profile/4154681/jay-dhorda/stats,Jay,173,131,20,1116,41,10.05,102.76,4,0,0,115,40,173,60,58.3,0,48,641,03-Mar,3,0,10.96,13.35,7.31,23,26,134,31,51,173,45,3,13,1,2
13037264,https://cricheroes.com/player-profile/13037264/jaydeep-mandavia,https://cricheroes.com/player-profile/13037264/jaydeep-mandavia/stats,Jaydeep,42,29,9,100,18,5,105.26,0,0,0,5,3,42,32,29.2,1,22,228,2/0,0,0,7.77,10.36,8,10,14,83,9,15,42,6,0,3,3,0
45072838,https://cricheroes.com/player-profile/45072838/jayesh-muni,https://cricheroes.com/player-profile/45072838/jayesh-muni/stats,Jayesh,5,5,0,12,8,2.4,48,0,0,0,1,0,5,,,,0,12,,,,,,,,,,,,5,0,0,0,0,0
33619223,https://cricheroes.com/player-profile/33619223/jeet-dave,https://cricheroes.com/player-profile/33619223/jeet-dave/stats,Jeet,29,20,6,113,25,8.07,131.4,0,0,0,10,8,29,18,17.5,0,19,196,02-Jan,0,0,10.99,10.32,5.63,15,13,45,4,17,29,0,0,4,1,0
44506413,https://cricheroes.com/player-profile/44506413/jenil-shah,https://cricheroes.com/player-profile/44506413/jenil-shah/stats,Jenil,13,10,2,147,61,18.38,226.15,1,1,0,5,18,13,9,8.1,0,5,97,01-Jul,0,0,11.88,19.4,9.8,12,7,21,3,7,13,2,0,3,0,0
12959405,https://cricheroes.com/player-profile/12959405/jiash-parikh,https://cricheroes.com/player-profile/12959405/jiash-parikh/stats,Jiash,120,85,22,308,23,4.89,92.22,0,0,0,24,13,120,113,127.4,0,78,1307,03-Apr,2,0,10.24,16.76,9.82,62,40,289,76,87,120,22,0,13,2,0
13053419,https://cricheroes.com/player-profile/13053419/jignesh-maniar,https://cricheroes.com/player-profile/13053419/jignesh-maniar/stats,Jignesh,90,66,10,332,21,5.93,108.5,0,0,0,5,23,90,33,32.2,1,21,281,02-Jan,0,0,8.69,13.38,9.24,24,14,79,13,14,90,10,2,10,0,3
13037386,https://cricheroes.com/player-profile/13037386/jitendra-rathi,https://cricheroes.com/player-profile/13037386/jitendra-rathi/stats,Jitendra,31,30,5,167,24,6.68,107.05,0,0,0,8,12,31,7,7,1,3,50,01-Apr,0,0,7.14,16.67,14,1,3,19,4,1,31,6,1,4,3,1
3821304,https://cricheroes.com/player-profile/3821304/jitendra,https://cricheroes.com/player-profile/3821304/jitendra/stats,Jitendra,99,68,11,212,29,3.72,80.92,0,0,0,9,11,99,41,40.3,0,34,394,4/0,2,0,9.73,11.59,7.15,26,17,96,6,27,99,5,9,17,2,3
9486828,https://cricheroes.com/player-profile/9486828/jitesh-jangid,https://cricheroes.com/player-profile/9486828/jitesh-jangid/stats,Jitesh,22,14,5,36,11,4.00,69.23,0,0,0,3,1,22,9,21.0,0,8,194,3/27,1,0,9.24,24.25,15.75,16,0,38,16,5,22,1,0,0,0,0
17529485,https://cricheroes.com/player-profile/17529485/kalpesh-lakhani,https://cricheroes.com/player-profile/17529485/kalpesh-lakhani/stats,Kalpesh,31,19,9,27,6,2.7,81.82,0,0,0,1,1,31,31,31,0,18,184,02-May,0,0,5.94,10.22,10.33,39,5,93,5,5,31,2,0,2,0,0
12958200,https://cricheroes.com/player-profile/12958200/kavya-mehta-pg,https://cricheroes.com/player-profile/12958200/kavya-mehta-pg/stats,Kavya,10,10,0,9,3,0.9,29.03,0,0,0,0,0,10,4,4,0,3,22,02-Mar,0,0,5.5,7.33,8,1,1,11,0,1,10,0,0,0,0,0
45074073,https://cricheroes.com/player-profile/45074073/keval-s,https://cricheroes.com/player-profile/45074073/keval-s/stats,Keval,6,5,0,33,16,6.6,110,0,0,0,4,1,6,6,6,0,6,39,02-Nov,0,0,6.5,6.5,6,3,1,18,4,1,6,5,0,0,0,0
21336779,https://cricheroes.com/player-profile/21336779/kirit-furiya,https://cricheroes.com/player-profile/21336779/kirit-furiya/stats,Kirit,64,57,6,311,36,6.1,111.87,1,0,0,12,32,64,,,,0,311,,,,,,,,,,,,64,7,0,2,2,0
4210071,https://cricheroes.com/player-profile/4210071/krishnan-iyer,https://cricheroes.com/player-profile/4210071/krishnan-iyer/stats,Krishnan,79,68,14,636,31,11.78,104.61,1,0,0,31,11,79,62,87,0,42,633,03-Feb,3,0,7.28,15.07,12.43,21,7,198,36,23,79,22,0,15,6,0
7249083,https://cricheroes.com/player-profile/7249083/kshitij,https://cricheroes.com/player-profile/7249083/kshitij/stats,Kshitij,106,91,13,496,30,6.36,126.53,2,0,0,15,41,106,73,75,0,46,740,02-Jan,0,0,9.87,16.09,9.78,123,24,188,35,39,106,22,3,13,6,2
4902501,https://cricheroes.com/player-profile/4902501/kumar-damani,https://cricheroes.com/player-profile/4902501/kumar-damani/stats,Kumar,22,12,1,32,17,2.91,96.97,0,0,0,1,3,22,12,12,0,14,78,04-Feb,1,0,6.5,5.57,5.14,5,3,34,3,1,22,4,0,2,0,0
21306542,https://cricheroes.com/player-profile/21306542/lalit-jain-jaon,https://cricheroes.com/player-profile/21306542/lalit-jain-jaon/stats,Lalit,13,2,2,4,2,,80,0,0,0,0,0,13,13,12.5,0,11,94,02-Jan,0,0,7.32,8.55,7,9,3,36,6,4,13,0,0,1,0,0
280390,https://cricheroes.com/player-profile/280390/malay-oza,https://cricheroes.com/player-profile/280390/malay-oza/stats,Malay,80,69,15,417,34,7.72,104.77,1,0,0,16,16,80,69,74.2,0,59,694,03-Oct,2,0,9.34,11.76,7.56,48,11,153,29,34,80,18,2,13,3,0
16202112,https://cricheroes.com/player-profile/16202112/mitanshu,https://cricheroes.com/player-profile/16202112/mitanshu/stats,Mitanshu,39,28,6,72,15,3.27,79.12,0,0,0,4,3,39,18,18,0,16,179,04-Apr,1,0,9.94,11.19,6.75,8,15,43,7,12,39,1,1,6,1,1
13037296,https://cricheroes.com/player-profile/13037296/mitesh-maniar,https://cricheroes.com/player-profile/13037296/mitesh-maniar/stats,Mitesh,30,23,7,98,16,6.13,106.52,0,0,0,3,6,30,20,19.2,0,12,130,02-Mar,0,0,6.72,10.83,9.67,16,1,47,5,4,30,6,1,5,0,0
